Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22535;8295 - Графический дизайн (с дополнительной квалификацией «Графический дизайнер»);26\5336\1 ГБ очн Графический дизайн, ОсК;8.54.03.01;фи
22536;8296 - Дизайн среды (с дополнительной квалификацией «Художник-оформитель»);26\5337\1 ИН ДОГ очн Дизайн среды, ДОГ;8.54.03.01;фи
22537;8296 - Дизайн среды (с дополнительной квалификацией «Художник-оформитель»);26\5337\1 ГБ очн Дизайн среды, ОсК;8.54.03.01;фи
22538;8297 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»);26\5334\1 ИН ДОГ очн Декоративно-прикладное искусство, ДОГ;8.54.03.02;фи
22539;8296 - Дизайн среды (с дополнительной квалификацией «Художник-оформитель»);26\5337\1 ГБ очн Дизайн среды, Б;8.54.03.01;фи
22540;8193 - Математика (с дополнительной квалификацией «Специалист по научно-исследовательским разработкам»);26\5339\1 ДОГ очн Математика, ДОГ;1.01.03.01;М
22541;8297 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»);26\5334\1 ГБ очн Декоративно-прикладное искусство, Б;8.54.03.02;фи
22542;8297 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»);26\5334\1 ДОГ очн Декоративно-прикладное искусство, ДОГ;8.54.03.02;фи
22543;8196 - Современное программирование (с дополнительной квалификацией «Программист»);26\5340\1 ГБ очн Современное программирование, Б;1.01.03.02;СП
22544;8245 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5344\1 ДОГ очн Социология, ДОГ;5.39.03.01;соцфак
22545;8288 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»);26\5343\1 ИН ДОГ очн Искусства и гуманитарные науки, ДОГ;8.50.03.01;фи
22546;8245 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5344\1 ГБ очн Социология, Б;5.39.03.01;соцфак
22547;8201 - Науки о данных (с дополнительной квалификацией «Специалист по большим данным»);26\5341\1 ГБ очн Науки о данных, ОтК;1.02.03.01;НОД
22548;8244 - Социологические исследования в цифровом обществе (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5345\1 ИН ДОГ очн Социологические исследования в цифровом обществе, ДОГ;5.39.03.01;соцфак
22549;8244 - Социологические исследования в цифровом обществе (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5345\1 ГБ очн Социологические исследования в цифровом обществе, ОсК;5.39.03.01;соцфак
22550;8253 - Международные отношения (с дополнительной квалификацией «Специалист в области перевода»);26\5342\1 ГБ очн Международные отношения, Б;5.41.03.05;мо
22551;8196 - Современное программирование (с дополнительной квалификацией «Программист»);26\5340\1 ДОГ очн Современное программирование, ДОГ;1.01.03.02;СП
22552;8288 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»);26\5343\1 ГБ очн Искусства и гуманитарные науки, ОсК;8.50.03.01;фи
22553;8253 - Международные отношения (с дополнительной квалификацией «Специалист в области перевода»);26\5342\1 ДОГ очн Международные отношения, ДОГ;5.41.03.05;мо
22554;8253 - Международные отношения (с дополнительной квалификацией «Специалист в области перевода»);26\5342\1 ГБ очн Международные отношения, ОсК;5.41.03.05;мо
22555;8244 - Социологические исследования в цифровом обществе (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5345\1 ДОГ очн Социологические исследования в цифровом обществе, ДОГ;5.39.03.01;соцфак
22556;8288 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»);26\5343\1 ГБ очн Искусства и гуманитарные науки, Б;8.50.03.01;фи
